case_id,layer,risk_cluster,primary_diagram,primary_anchor,supporting_diagrams,invariant_ids,gold_ids,review_status,implementation_status
USR-P0-01,product,RC-PRODUCT-ENTRY,RF-UML-UC-CAND-01,SAFE_SYNTHETIC_DEMO,RF-UML-CTX-SYS-01;RF-UML-DEP-M0-01;RF-UML-CMP-M0-01,,GOLD-01,ACCEPTED,NOT_VERIFIED
USR-P0-02,product,RC-PRODUCT-ENTRY,RF-UML-ACT-ONB-01,WORKSPACE_ONBOARDING,,,GOLD-02,ACCEPTED,NOT_VERIFIED
USR-P0-03,product,RC-HISTORY-DEDUP,RF-UML-ACT-IMPORT-01,HISTORY_DECLARED,RF-UML-SEQ-IMPORT-01;RF-UML-SM-APP-01;RF-UML-CD-JOB-01,,GOLD-03,ACCEPTED,NOT_VERIFIED
USR-P0-04,product,RC-PLATFORM-COMPLIANCE,RF-UML-UC-EXT-01,UNSUPPORTED_HONEST_DEGRADATION,RF-UML-CMP-EXT-01;RF-UML-SEC-BOUNDARY-01;RF-UML-ACT-AUTH-01,,GOLD-04,ACCEPTED,NOT_VERIFIED
ONB-P0-01,product,RC-ONBOARDING,RF-UML-ACT-ONB-01,ONBOARDING_REQUIRED_CONFIG,RF-UML-SM-WS-01,,,ACCEPTED,NOT_VERIFIED
ONB-P0-02,product,RC-ONBOARDING,RF-UML-ACT-ONB-01,ONBOARDING_CHECKPOINT_RESUME,RF-UML-SM-WS-01,,,ACCEPTED,NOT_VERIFIED
ONB-P0-03,product,RC-ONBOARDING,RF-UML-SEQ-ONB-01,CONNECTOR_CONSENT,,,,ACCEPTED,NOT_VERIFIED
ONB-P0-04,product,RC-ONBOARDING,RF-UML-SM-RUN-01,RUNTIME_CAPABILITY_MATRIX,RF-UML-SEQ-OFF-01;RF-UML-CMP-TARGET-01;RF-UML-SEQ-ONB-01,,,ACCEPTED,NOT_VERIFIED
ONB-P0-05,product,RC-ONBOARDING,RF-UML-ACT-CAL-01,L3_CALIBRATION,RF-UML-SM-POL-01;RF-UML-SM-POLVER-01;RF-UML-UC-AUTH-01;RF-UML-CD-AUTH-01,,,ACCEPTED,NOT_VERIFIED
ONB-P0-06,product,RC-DATA-LIFECYCLE,RF-UML-SEQ-DATA-01,ONBOARDING_ABANDON_DELETION_BINDING,RF-UML-ACT-ONB-01;RF-UML-ACT-DELETE-01;RF-UML-SM-DAT-01;RF-UML-CD-AUTH-01;RF-UML-CMP-TARGET-01;RF-UML-SEC-CRED-01;RF-UML-SEQ-KILL-01,INV-02;INV-04;INV-05;INV-12,,ACCEPTED,NOT_VERIFIED
EVD-P0-01,product,RC-EVIDENCE,RF-UML-ACT-ONB-01,EVIDENCE_THREE_WAY_CONFIRMATION,RF-UML-SM-EVD-01;RF-UML-CD-EVD-01,INV-01,,ACCEPTED,NOT_VERIFIED
EVD-P0-02,product,RC-EVIDENCE,RF-UML-ACT-ONB-01,PARSE,,,,ACCEPTED,NOT_VERIFIED
EVD-P0-03,product,RC-EVIDENCE,RF-UML-ACT-ONB-01,EVIDENCE_CONFLICT_USER_RESOLUTION,RF-UML-SM-EVD-01;RF-UML-CD-EVD-01;RF-UML-ACT-MAT-01,INV-01,GOLD-05,ACCEPTED,NOT_VERIFIED
EVD-P0-04,product,RC-EVIDENCE,RF-UML-ACT-MAT-01,LOCAL_ONLY_ZERO_DISCLOSURE,RF-UML-SM-EVD-01;RF-UML-CD-EVD-01,INV-01,,ACCEPTED,NOT_VERIFIED
EVD-P0-05,product,RC-EVIDENCE,RF-UML-ACT-MAT-01,MATERIAL_EVIDENCE_GATE,RF-UML-CD-EVD-01;RF-UML-SM-MAT-01,INV-01,GOLD-06,ACCEPTED,NOT_VERIFIED
EVD-P0-06,product,RC-EVIDENCE,RF-UML-SM-EVD-01,EVIDENCE_INVALIDATION,RF-UML-CD-EVD-01;RF-UML-ACT-MAT-01,INV-03,,ACCEPTED,NOT_VERIFIED
POL-P0-01,product,RC-POLICY-AUTH,RF-UML-ACT-CAL-01,HARD_VS_PREFERENCE,RF-UML-CD-JOB-01;RF-UML-SM-JOB-01;RF-UML-SM-POL-01,,,ACCEPTED,NOT_VERIFIED
POL-P0-02,product,RC-POLICY-AUTH,RF-UML-ACT-CAL-01,POLICY_AMBIGUITY_BLOCK,RF-UML-SM-POL-01;RF-UML-SM-POLVER-01;RF-UML-UC-AUTH-01,,,ACCEPTED,NOT_VERIFIED
POL-P0-03,product,RC-POLICY-AUTH,RF-UML-CD-AUTH-01,AUTH_BINDINGS,RF-UML-SM-PLN-01;RF-UML-ACT-AUTH-01;RF-UML-REL-MUT-01,INV-02;INV-06,,ACCEPTED,NOT_VERIFIED
POL-P0-04,product,RC-POLICY-AUTH,RF-UML-SM-POLVER-01,POLICY_CHANGE_INVALIDATION,RF-UML-CD-AUTH-01;RF-UML-SEQ-KILL-01,INV-03,,ACCEPTED,NOT_VERIFIED
POL-P0-05,product,RC-POLICY-AUTH,RF-UML-ACT-AUTH-01,AUTH_EXPIRY_QUOTA_OUTCOME,RF-UML-CD-AUTH-01;RF-UML-SM-PLN-01;RF-UML-REL-MUT-01;RF-UML-SEQ-CONC-01,,,ACCEPTED,NOT_VERIFIED
POL-P0-06,product,RC-POLICY-AUTH,RF-UML-ACT-PAUSE-01,CONTROL_ORTHOGONAL,RF-UML-SEQ-KILL-01,INV-03;INV-09,GOLD-17,ACCEPTED,NOT_VERIFIED
JOB-P0-01,product,RC-JOB-PIPELINE,RF-UML-SEQ-DISC-01,JOB_SOURCE_TRACEABILITY,,,,ACCEPTED,NOT_VERIFIED
JOB-P0-02,product,RC-JOB-PIPELINE,RF-UML-ACT-IMPORT-01,DEDUP_REVIEW,RF-UML-SEQ-IMPORT-01;RF-UML-SM-APP-01;RF-UML-CD-JOB-01,,,ACCEPTED,NOT_VERIFIED
JOB-P0-03,product,RC-JOB-PIPELINE,RF-UML-ACT-JOB-01,JOB_FILTER_SCORE,,,,ACCEPTED,NOT_VERIFIED
JOB-P0-04,product,RC-JOB-PIPELINE,RF-UML-ACT-JOB-01,QUIET,,,,ACCEPTED,NOT_VERIFIED
JOB-P0-05,product,RC-JOB-PIPELINE,RF-UML-CD-JOB-01,JOB_VERSION_INVALIDATION,RF-UML-SM-JOB-01;RF-UML-ACT-IMPORT-01,INV-03,,ACCEPTED,NOT_VERIFIED
JOB-P0-06,product,RC-JOB-PIPELINE,RF-UML-SEQ-SEC-01,COMPANY_CONFLICT_GUARD,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,INV-11,,ACCEPTED,NOT_VERIFIED
MAT-P0-01,product,RC-MATERIALS,RF-UML-ACT-MAT-01,MATERIAL_SOURCE_FACT_INTEGRITY,RF-UML-CD-EVD-01;RF-UML-SM-MAT-01,INV-01,,ACCEPTED,NOT_VERIFIED
MAT-P0-02,product,RC-MATERIALS,RF-UML-ACT-MAT-01,L2_DIFF_PREVIEW,RF-UML-SM-MAT-01;RF-UML-SEQ-APPLY-01,,,ACCEPTED,NOT_VERIFIED
MAT-P0-03,product,RC-MATERIALS,RF-UML-ACT-MAT-01,MATERIAL_CONFIDENCE_CONTRADICTION_GATE,RF-UML-CD-EVD-01;RF-UML-SM-MAT-01,INV-01,,ACCEPTED,NOT_VERIFIED
MAT-P0-04,product,RC-MATERIALS,RF-UML-ACT-MAT-01,SCOPE,RF-UML-CD-EVD-01;RF-UML-SM-MAT-01,,,ACCEPTED,NOT_VERIFIED
ACT-P0-01,product,RC-EXTERNAL-MUTATION,RF-UML-SEQ-APPLY-01,PLAN_CREATED,RF-UML-CD-AUTH-01;RF-UML-SM-PLN-01;RF-UML-ACT-AUTH-01;RF-UML-REL-MUT-01,INV-02;INV-12,,ACCEPTED,NOT_VERIFIED
ACT-P0-02,product,RC-EXTERNAL-MUTATION,RF-UML-REL-MUT-01,MUTATION_PROTOCOL,RF-UML-SM-OPR-01;RF-UML-SEQ-OPR-01,INV-05,GOLD-07,ACCEPTED,NOT_VERIFIED
ACT-P0-03,product,RC-EXTERNAL-MUTATION,RF-UML-SEQ-OPR-02,OUTCOME_UNKNOWN_RECONCILE,RF-UML-SM-OPR-01;RF-UML-REL-MUT-01;RF-UML-ACT-AUTH-01,INV-04,GOLD-15,ACCEPTED,NOT_VERIFIED
ACT-P0-04,product,RC-EXTERNAL-MUTATION,RF-UML-ACT-AUTH-01,CONFIRMED_FAILURE_NEW_PLAN,RF-UML-SM-PLN-01;RF-UML-CD-AUTH-01;RF-UML-REL-MUT-01;RF-UML-SEQ-OPR-02,,,ACCEPTED,NOT_VERIFIED
ACT-P0-05,product,RC-EXTERNAL-MUTATION,RF-UML-ACT-AUTH-01,CAPABILITY_FAILURE_HANDOFF,RF-UML-SEQ-SEC-01;RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01;RF-UML-UC-EXT-01;RF-UML-SM-RUN-01;RF-UML-ACT-PAUSE-01,INV-10,,ACCEPTED,NOT_VERIFIED
ACT-P0-06,product,RC-EXTERNAL-MUTATION,RF-UML-SEQ-OPR-02,OUTCOME_UNKNOWN_RECONCILE,RF-UML-SM-OPR-01;RF-UML-REL-MUT-01,INV-05,,ACCEPTED,NOT_VERIFIED
